Latitude,Longitude
51.492628,-0.125204
51.519599,-0.079254
51.508123,-0.094551
51.500613,-0.098927
51.5052,-0.084629
51.504068,-0.095743
51.4915,-0.122138
51.509779,-0.123116
51.510077,-0.128249
51.499213,-0.116966
51.504092,-0.126232
51.500776,-0.12023
51.508597,-0.120585
51.502451,-0.12372
51.497205,-0.125736
51.494517,-0.123008
51.508536,-0.116812
51.499444,-0.129707
51.500932,-0.124892
51.506291,-0.135004
51.498808,-0.14342
51.507134,-0.125848
51.497487,-0.111937
51.495773,-0.114414
51.494781,-0.110896
51.499438,-0.113628
51.500187,-0.107618
51.504202,-0.104556
51.511025,-0.109432
51.508786,-0.104437
51.509245,-0.08727
51.503896,-0.091197
51.499889,-0.081538
51.496702,-0.102302
51.50672,-0.103443
51.497021,-0.109248
51.498933,-0.101778
51.510646,-0.075077
51.511339,-0.085553
51.499547,-0.104734
51.516086,-0.10154
51.518202,-0.114496
51.517867,-0.10935
51.512956,-0.10425
51.513665,-0.111989
51.522851,-0.111681
51.522026,-0.109063
51.518986,-0.087914
51.516212,-0.104864
51.513962,-0.07547
51.512563,-0.115551
51.520478,-0.117372
51.521884,-0.087014
51.516042,-0.119443
51.512806,-0.118394
51.517898,-0.123604
51.521073,-0.123618
51.518111,-0.127934
51.523464,-0.137099
51.518431,-0.132158
51.515998,-0.135256
51.514979,-0.129979
51.514889,-0.141859
51.515591,-0.153317
51.519006,-0.136689
51.519995,-0.105803
51.515805,-0.109162
51.528376,-0.106882
51.521693,-0.097372
51.519294,-0.144634
51.512102,-0.131725
51.524987,-0.128257
51.525191,-0.11686
51.514273,-0.150113
51.518736,-0.158307
51.5186,-0.155934
51.506548,-0.143264
51.502966,-0.116004
51.506043,-0.110503
51.498238,-0.090554
51.498895,-0.085095
51.500792,-0.093877
51.504693,-0.092662
51.497563,-0.098809
51.511097,-0.094945
51.50919,-0.083338
51.522605,-0.101456
51.524888,-0.093116
51.524476,-0.099288
51.51752,-0.091766
51.516587,-0.084742
51.519929,-0.112292
51.515097,-0.078348
51.514996,-0.079275
51.526625,-0.113759
51.502052,-0.080712
51.502011,-0.095339
51.503184,-0.079036
51.497962,-0.100132
51.510135,-0.089452
51.496805,-0.106447
51.498253,-0.105364
51.508236,-0.133483
51.50868,-0.131966
51.494853,-0.127677
51.503103,-0.107224
51.523825,-0.090205
51.523304,-0.102408
51.525248,-0.123244
51.515353,-0.12133
51.525137,-0.114614
51.514271,-0.146553
51.497652,-0.12955
51.520666,-0.094474
51.519884,-0.129158
51.498143,-0.136085
51.517549,-0.151451
51.510716,-0.08483
51.511825,-0.146581
51.520087,-0.163585
51.526633,-0.121558
51.518201,-0.148296
51.517013,-0.157958
51.520001,-0.125737
51.514267,-0.121433
51.521818,-0.134225
51.528089,-0.127669
51.530878,-0.110945
51.513463,-0.082884
51.512992,-0.097057
51.527414,-0.096917
51.519473,-0.102437
51.514264,-0.089553
51.522455,-0.084511
51.514191,-0.106087
51.52266,-0.094852
51.515558,-0.093909
51.51955,-0.146022
51.507966,-0.151089
51.514999,-0.085011
51.513779,-0.134265
51.507415,-0.142379
51.517743,-0.105017
51.527058,-0.119421
51.492621,-0.102385
51.490894,-0.116877
51.503215,-0.137247
51.503331,-0.117459
51.499422,-0.136249
51.500989,-0.133534
51.502409,-0.145954
51.511661,-0.126642
51.517516,-0.149362
51.519053,-0.163627
51.512989,-0.146703
51.521963,-0.11855
51.506456,-0.113252
51.50668,-0.098746
51.498141,-0.112933
51.500737,-0.101616
51.497763,-0.085704
51.505242,-0.11104
51.512947,-0.076666
51.515003,-0.112971
51.520141,-0.082662
51.517712,-0.093617
51.51219,-0.083125
51.513123,-0.131453
51.527391,-0.112747
51.521891,-0.138301
51.495405,-0.137537
51.494175,-0.119637
51.519072,-0.075601
51.498205,-0.09129
51.524111,-0.131421
51.521896,-0.106041
51.498105,-0.115124
51.504652,-0.108471
51.495767,-0.112901
51.510956,-0.115185
51.504825,-0.124271
51.506973,-0.151951
51.50669,-0.151126
51.510076,-0.154289
51.505124,-0.137371
51.496237,-0.141796
51.514261,-0.08497
51.527555,-0.105648
51.519551,-0.106672
51.5215,-0.107686
51.512199,-0.114211
51.52171,-0.120752
51.515118,-0.159807
51.519024,-0.158857
51.519566,-0.117698
51.518687,-0.11782
51.51749,-0.136924
51.52774,-0.126645
51.521456,-0.149404
51.513641,-0.151133
51.511389,-0.108033
51.509728,-0.078329
51.493881,-0.106957
51.515251,-0.137491
51.494096,-0.115794
51.52308,-0.109754
51.526227,-0.114742
51.497026,-0.12073
51.496096,-0.102097
51.53155,-0.040644
51.562667,-0.044544
51.513702,-0.027863
51.563842,-0.106347
51.575248,-0.085467
51.57112,-0.124444
51.537584,-0.122578
51.540399,-0.051959
51.531968,-0.060927
51.506149,-0.074992
51.493815,-0.024975
51.455274,-0.110167
51.478426,-0.053852
51.475203,-0.027767
51.436439,-0.127807
51.455402,-0.119259
51.470654,-0.112555
51.467314,-0.117891
51.476796,-0.123203
51.466577,-0.066004
51.489826,-0.108062
51.494493,-0.096372
51.489844,-0.055858
51.45122,-0.100821
51.440603,-0.062526
51.486072,-0.071935
51.433299,-0.224255
51.463265,-0.229196
51.465401,-0.18827
51.467355,-0.212481
51.483209,-0.216009
51.479805,-0.141067
51.479705,-0.171271
51.480683,-0.16599
51.463864,-0.149763
51.443791,-0.237202
51.453275,-0.212657
51.456046,-0.219242
51.414301,-0.192649
51.434105,-0.195723
51.466542,-0.169681
51.479765,-0.186736
51.484748,-0.156263
51.461304,-0.155092
51.480129,-0.191071
51.453912,-0.197231
51.526031,-0.23446
51.506498,-0.263271
51.50234,-0.22699
51.495928,-0.223998
51.507364,-0.20495
51.499272,-0.197992
51.544717,-0.201331
51.53709,-0.192403
51.549922,-0.164057
51.549477,-0.140955
51.529838,-0.138669
51.531018,-0.134858
51.537435,-0.153933
51.516419,-0.170536
51.520786,-0.200545
51.577557,-0.146967
51.531714,-0.145312
51.509698,-0.192983
51.505417,-0.194104
51.501618,-0.183333
51.487422,-0.195794
51.491906,-0.192607
51.490404,-0.196094
51.493962,-0.21471
51.493126,-0.236711
51.511632,-0.224785
51.488875,-0.229745
